Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Benin,BEN,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,247.000451546
Benin,BEN,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,179.9525318152
Benin,BEN,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,133.3081267786
Benin,BEN,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.213489121239495
Benin,BEN,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.155537804248491
Benin,BEN,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.115221792761546
Benin,BEN,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,2005.9093441513
Benin,BEN,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1413.5481945591
Benin,BEN,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1014.6356801175
Benin,BEN,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,71.1
Benin,BEN,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,67
Benin,BEN,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,66.1
Benin,BEN,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,65.2
Benin,BEN,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,64.3
Benin,BEN,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,54.2
Benin,BEN,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,62.5
Benin,BEN,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,51.7
Benin,BEN,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,55.8
Benin,BEN,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,61
Benin,BEN,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,68.6
Benin,BEN,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,67
Benin,BEN,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,65.4
Benin,BEN,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,55.7
Benin,BEN,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,54.7
Benin,BEN,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,53.8
Benin,BEN,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,56.6
Benin,BEN,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,51.9
Benin,BEN,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,51
Benin,BEN,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,50.1
Benin,BEN,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,49.2
Benin,BEN,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,49.6
Benin,BEN,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.5
Benin,BEN,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,46.6010475158691
Benin,BEN,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,45.7014350891113
Benin,BEN,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.7813873291016
Benin,BEN,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34.4
Benin,BEN,2020,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,51.0478241974862
Benin,BEN,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,46.5625275293874
Benin,BEN,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,54.0562679352757
Benin,BEN,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,58.3879587239383
Benin,BEN,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,59.4793406242621
Benin,BEN,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,66.6561284323416
Benin,BEN,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,42.0112596872744
